ID,Exhibition,Space,Era,Country,Medium,Type of Exhibition,Principal Artist,Start Day,End Day,Duration,Report Year,Visitors,Charge?,Co-Organisers,Sponsors,Link,Description,A review with more info,days_to_start,days_to_end,exhib_duration
25,Ellen Gallagher: AxME,,Contemporary,USA,Sculpture,Artist,Ellen Gallagher,2013-05-01,2013-09-01,123.0,2013-14,,Paid,,"Glenn and Amanda Fuhrman, The Ellen Gallagher Supporters Group, Tate Patrons and Tate International Council",http://www.tate.org.uk/whats-on/tate-modern/exhibition/ellen-gallagher-axme,"Ellen Gallagher is one of the most acclaimed contemporary artists to have emerged from North America since the mid-1990s. Her gorgeously intricate and highly imaginative works are realised with a wealth of virtuoso detail and wit. This is her first major solo exhibition in the UK, providing the first ever opportunity to explore an overview of her twenty-year career. Gallagher brings together imagery from myth, nature, art and social history to create complex works in a wide variety of media including painting, drawing, relief, collage, print, sculpture, film and animation. The exhibition explores the themes which have emerged and recurred in her practice, from her seminal early canvases through to recent film installations and new bodies of work. In her series of wig-map grid collages, Double Natural, POMP-BANG, and eXelento, Gallagher has appropriated and incorporated found advertisements for hair and beauty products from the 1930s to the late 1970s from publications such as Ebony, Our World and Black Stars. These advertisements fostered ideals in black beauty through wigs and hair adornments, which Gallagher has then recontextualised, collaging the Afro wig elements and embellishing them with plasticine. As she comments: ‘The wig ladies are fugitives, conscripts from another time and place, liberated from the “race” magazines of the past. But again, I have transformed them, here on the pages that once held them captive.’ The exhibition includes other such key works as Bird in Hand 2006, a complex relief built up in layers of printed matter, plasticine, crystal, paint, gold leaf and salt. In Bird in Hand, human life and marine life converge at the bottom of the ocean in a mythical black Atlantis. Gallagher’s mysterious vision of marine life extends beyond the canvas and into other media, such as the 16 mm film installation Murmur 2003–4 (a collaboration with Edgar Cleijne), as well as the ongoing series of delicate watercolours and cut paper works entitled Watery Ecstatic. New and recent work on display for the first time at Tate Modern include Morphia, a series of two-sided drawings, which show how Gallagher combines the intimate with the epic, the urban with the oceanic, the ethereal with the physical and history with the present. Ellen Gallagher was born in Providence, Rhode Island in 1965 and now lives and works in Rotterdam and New York. Her work is held in many major public collections, including MoMA and Metropolitan Museum of Art in New York and Centre Pompidou, Paris.",,2085,2208,124
26,Ibrahim El-Salahi: A Visionary Modernist,,Post-War,Sudan,Painting,Artist,Ibrahim El-Salahi,2013-07-03,2013-09-22,81.0,2013-14,,Paid,"Sharjah Art Museum in May 2012 and travelled to the Katara Cultural Village Foundation, Doha, Qata",Guaranty Trust Bank Plc.,http://www.tate.org.uk/whats-on/tate-modern/exhibition/ibrahim-el-salahi-visionary-modernist,"The first Tate Modern exhibition dedicated to African Modernism traces the life and work of Ibrahim El-Salahi. This major retrospective brings together 100 works from across more than five decades of his international career. The exhibition highlights one of the most significant figures in African and Arab Modernism and reveals his place in the context of a broader, global art history. The exhibition outlines the artist’s personal journey, beginning in Sudan in the 1950’s and followed by his international schooling at the Slade School in London. After a period of research and self-discovery, he returned to Sudan in 1957. There, he established a new Sudanese visual vocabulary, which arose from his own pioneering integration of Islamic, African, Arab and Western artistic traditions. El-Salahi lived in Qatar before settling in England in the 1990s. His recent paintings reflect his joy for life, his deep spiritual faith, and a profound recognition of his place in the world. Ibrahim El-Salahi: A Visionary Modernist is organised by the Museum for African Art, New York, in association with Tate Modern, London. The exhibition is curated by Salah M. Hassan, Goldwin Smith Professor, Cornell University. The presentation at Tate Modern is curated in collaboration with Elvira Dyangani Ose, Curator, International Art, Supported by Guaranty Trust Bank Plc. The exhibition first opened at the Sharjah Art Museum in May 2012 and travelled to the Katara Cultural Village Foundation, Doha, Qatar in October 2012. An illustrated catalogue accompanies the exhibition, edited by Salah M Hassan with contributions by Sarah Adams, Ulli Beier, Iftikhar Dadi, Hassan Musa and Chika Okeke-Agulu, as well as special texts by El-Salahi.",,2148,2229,82
27,Meschac Gaba: Museum of Contemporary African Art 1997–2002,,Contemporary,Benin,Installation,Miniature / One off,Meschac Gaba,2013-07-03,2013-09-22,81.0,2013-14,,Free,,Guaranty Trust Bank Plc.,http://www.tate.org.uk/whats-on/tate-modern/exhibition/meschac-gaba-museum-contemporary-african-art,,,2148,2229,82
28,Project Space: Word. Sound. Power,Project Space,Contemporary,Mixed,Mixed,Mixed,-,2013-07-12,2013-11-03,114.0,2013-14,,Free,"Khoj, International Artists’ Association, New Delhi,",,http://www.tate.org.uk/whats-on/tate-modern/exhibitionseries/project-space/project-space-word-sound-power,"From a single utterance, to the pronunciation of a name and the declaration of an idea, the voice is a tool through which we assert our presence in the world. The use of the voice as a means of protest and as a metaphor for self-representation is central to this exhibition. By bringing together the work of Lawrence Abu Hamdan, Caroline Bergvall, Amar Kanwar, Nikolaj Bendix Skyum Larsen, Anjali Monteiro and K.P. Jayasankar, Pallavi Paul and Mithu Sen – including audio documentary, video, performance, text and sound – this exhibition takes a moment to listen to the harmony and dissonance of voices rising. Artist Nikolaj Bendix Skyum Larsen presents a newly commissioned work that grounds the relevance of the voice – singular and collective, celebrated and silenced – in the localities neighbouring Tate Modern in London and Khoj, International Artists’ Association in New Delhi. Larsen encounters the lives of four young men, continents apart who show deep sadness, sheer belief and aspiration as they attempt to find expression and empowerment. United through hip-hop culture dance, rap and poetry become means to raise their voices in the face of adversity.",,2157,2271,115
29,Mira Schendel,,Post-War,Brazil,Sculpture,Artist,Mira Schendel,2013-09-25,2014-01-19,116.0,2013-14,,Paid,,Itaú With additional support from the Mira Schendel Exhibition Supporters Group,http://www.tate.org.uk/whats-on/tate-modern/exhibition/mira-schendel,"Mira Schendel (1919–1988) was one of Latin America's most important and prolific post-war artists. With her contemporaries Lygia Clark and Hélio Oiticica, Schendel reinvented the language of European Modernism in Brazil. Tate Modern is staging the first ever international full-scale survey of her work. The exhibition reveals aspects of Schendel's dialogues with a diverse range of philosophers and thinkers, as well as her engagement with universal ideas of faith, self-understanding and existence. It brings together over 250 paintings, drawings and sculptures from across her entire career, including works which have never been exhibited before.",,2232,2348,117
30,The EY Exhibition: Paul Klee – Making Visible,,Modernism,Switzerland,Painting,Artist,Paul Klee,2013-10-16,2014-03-09,144.0,2013-14,,Paid,,EY Tate Arts Partnership With additional support from The Paul Klee Exhibition Supporters Group,http://www.tate.org.uk/whats-on/tate-modern/exhibition/paul-klee-making-visible,"Paul Klee is a giant of twentieth-century art and one of the great creative innovators of the time. Witty, inventive, magical, his exquisite paintings resist easy classification. He is mentioned in the same breath as Matisse, Picasso and his Bauhaus contemporary Kandinsky. He cuts a radical figure in European modernism. His influence on abstraction can be seen in the works of Rothko, Miró and beyond. And yet, for an artist of such stature, there is still so much to discover about him. At Tate Modern this autumn, you can rediscover Klee's extraordinary body of work and see it in a new light. Paintings, drawings and watercolours from collections around the world will be reunited and displayed alongside each other as the artist originally intended, often for the first time since Klee exhibited them himself. The EY Exhibition: Paul Klee – Making Visible begins with the artist’s breakthrough during the First World War, when he first developed his individual abstract patchworks of colour that later became characteristic of his ‘magic square’ paintings. The heart of the exhibition will focus on the decade Klee spent teaching and working at the Bauhaus, the hotbed of modernist design. The abstract canvases he produced there, such as the rhythmical composition Fire in the Evening 1929, took his reputation to new international heights. The 1930s then brought about radical changes. Having moved to Düsseldorf, Klee was dismissed from his new teaching position by the Nazis and took refuge in Switzerland with his family, while his works were removed from collections and labelled ‘degenerate art’ in Germany. Despite the political turmoil, financial insecurity and his declining health, he nevertheless became even more prolific. Small, expressive canvases, rich with meaning and grouped as Klee himself grouped them: seeing Paul Klee at Tate Modern is your opportunity to understand Klee’s art as he intended and to appreciate the impact of this fascinating artist. The EY Exhibition: Paul Klee presents a revelatory experience of the work of this modern master.",,2253,2397,145
31,Project Space: Inverted House,Project Space,Contemporary,"Serbia, Croatia",Installation,Miniature / One off,-,2013-11-22,2014-04-13,142.0,2013-14,,Free,"Museum of Contemporary Art, Belgrade",,http://www.tate.org.uk/whats-on/tate-modern/exhibitionseries/project-space/project-space-inverted-house,"Opening at Tate Modern on 22 November 2013, this collaborative exhibition between Tate and the Museum of Contemporary Art, Belgrade showcases the work of Tina Gverović and Siniša Ilić for their first UK museum show. Invited as part of the project to participate in a two-week residency at Tate Modern, Gverović and Ilić work collaboratively during this time to create a new site-specific installation that responds to the building, its collection and its public, focusing on the role of the museum in a wider global context. Taking the residency as a creative process for artists and curators as its starting point, the exhibition considers key questions of museum function, social interaction and the potential of collaborative conversation.",,2290,2432,143
32,Richard Hamilton,,Post-War,UK,Mixed,Artist,Richard Hamilton,2014-02-13,2014-05-26,102.0,2013-14,,Paid,,The Richard Hamilton Exhibition Supporters Group and Tate Patrons,http://www.tate.org.uk/whats-on/tate-modern/exhibition/richard-hamilton,"One of the most influential British artists of the 20th century, Richard Hamilton (1922–2011) is widely regarded as a founding figure of pop art, who continued to experiment and innovate over a career of 60 years. Tate Modern presents the first retrospective to encompass the full scope of Hamilton’s work, from his early exhibition designs of the 1950s to his final paintings of 2011. This exhibition explores his relationship to design, painting, photography and television, as well as his engagement and collaborations with other artists. Hamilton is best known for his pivotal role in the birth of pop art, including the groundbreaking installation Fun House 1956. A centrepiece of the exhibition, this immersive room combines images from movie-posters, magazines and art history, and will be shown alongside a print of the era-defining Just what is it that makes today’s homes so different, so appealing?. The depiction of Mick Jagger in the iconic series Swingeing London 67 1968–9, as well as images of other celebrities such as Bing Crosby and Marilyn Monroe, will show Hamilton’s continued interest in popular culture. Wider contemporary issues and political subjects are also addressed in his work, including the Kent State shootings and the IRA ‘dirty protests’, as well as figures like Margaret Thatcher and Tony Blair in such works as Treatment Room 1984 and Shock and Awe 2010. Hamilton’s interest in interiors, architecture and design is represented by his depictions of everything from the Guggenheim Museum in New York to a classic Braun toaster.",,2373,2475,103
33,Damien Hirst,,Contemporary,UK,Sculpture,Artist,Damien Hirst,2012-04-04,2012-09-09,158.0,2012-13,463087,Paid,,Qatar Museums Authority,http://www.tate.org.uk/whats-on/tate-modern/exhibition/damien-hirst,"Damien Hirst first came to public attention in London in 1988 when he conceived and curated Freeze, an exhibition in a disused warehouse which showed his work and that of his friends and fellow students at Goldsmiths College. In the nearly quarter of a century since that pivotal show, Hirst has become one of the most influential artists of his generation. This is the first substantial survey of his work in a British institution and brings together key works from over twenty years. The exhibition includes iconic sculptures from his Natural History series, including The Physical Impossibility of Death in the Mind of Someone Living 1991, in which he suspended a shark in formaldehyde. Also included are vitrines such as A Thousand Years from 1990, medicine cabinets, pill cabinets and instrument cabinets in addition to seminal paintings made throughout his career using butterflies and flies as well as spots and spins. The two-part installation In and Out of Love, not shown in its entirety since its creation in 1991 and Pharmacy 1992 are among the highlights of the exhibition.",,1693,1851,159
34,Project Space: Stage and Twist,Project Space,Contemporary,"Romania, Poland",Mixed,Theme,-,2012-05-25,2012-10-14,142.0,2012-13,Not given,Free,,Catherine Petitgas,http://www.tate.org.uk/whats-on/tate-modern/exhibitionseries/project-space/project-space-stage-and-twist,"In Stage and Twist a child drinks a mixture of Pepsi and Coca-Cola, a giant puzzle is played by two half-naked young men, an iconic work by Yves Klein is re-enacted with the artist leaping into the void and hitting the pavement below and a group of workers assemble a monumental sculpture out of scaffolding in an empty field. In all of these works history is both re-staged and twisted as a means to engage critically with the present day. This exhibition brings together the Polish artist Anna Molska and the Romanian artist Ciprian Mureşan for their first museum exhibition in London. Molska and Mureşan draw upon historical events and art history to highlight the power of the collective experience in the post-communism era. Both artists question social mechanisms and the construction of individuality. Rather than glorifying the past, each work cheerfully accepts the uncountable failures and shortcomings of contemporary society.",,1744,1886,143
35,Edvard Munch: The Modern Eye,,Modernism,Norway,Painting,Artist,Edward Munch,2012-06-28,2012-10-14,108.0,2012-13,191503,Paid,,Statkraft Supported by Samuel and Nina Wisnia,http://www.tate.org.uk/whats-on/tate-modern/exhibition/edvard-munch-modern-eye,"Few other modern artists are better known and yet less understood than Norwegian painter Edvard Munch (1863–1944). This exhibition examines the artist’s work from the 20th century, including sixty paintings, many from the Munch Museum in Oslo, with a rare showing of his work in film and photography. Munch is often seen as a 19th-century Symbolist painter but this exhibition shows how he engaged with modernity and was inspired by the everyday life outside of his studio such as street scenes and incidents reported in the media – including The House is Burning 1925–7, a sensational view of a real life event with people fleeing the scene of a burning building. The show also examines how Munch often repeated a single motif over a long period of time in order to re-work it, as can be seen in the different versions of his most celebrated works, such as The Sick Child 1885–1927 and Girls on the Bridge 1902–7.  Munch’s use of prominent foregrounds and strong diagonals reference the technological developments in cinema and photography at the time. Creating the illusion of figures moving towards the spectator, this visual trick can be seen in many of Munch’s most innovative works such as Workers on their Way Home 1913–14. He was also keenly aware of the visual effects brought on by the introduction of electric lighting on theatre stages and used this to create striking effect in works such as The Artist and his Model 1919–21. Like other painters such as Bonnard and Vuillard, Munch adopted photography in the early years of the 20th century and largely focused on self-portraits, which he obsessively repeated. In the 1930s he developed an eye disease and made poignant works which charted the effects of his degenerating sight. ",,1778,1886,109
36,The Tanks: Art in action,The Tanks,Contemporary,Mixed,Mixed,Mixed,-,2012-07-18,2012-10-28,102.0,2012-13,"565,000 estimated",Free,,"Sotheby’s, Tanks Supporter Group",http://www.e.tate.org.uk/whats-on/tate-modern/tanks-art-action,"Be a part of Tate Modern’s new space, The Tanks. For 15 weeks these magnificent raw, industrial spaces offer a sensational line-up of performance and events. View the full programme",,1798,1900,103
37,The Unilever Series: Tino Sehgal,Turbine Hall,Contemporary,Germany,Performance,Miniature / One off,Tino Sehgal,2012-07-24,2012-10-28,96.0,2012-13,Not given,Free,,"Unilever, The Goethe-Institut",http://www.tate.org.uk/whats-on/tate-modern/exhibitionseries/unilever-series/unilever-series-tino-sehgal-2012,"Tate Modern has unveiled the first live commission in The Unilever Series – These associations, created by Anglo-German artist Tino Sehgal. Tino Sehgal has risen to prominence for his innovative works which consist purely of live encounters between people, including work at the 2005 Venice Biennale and solo shows at the Guggenheim and London's ICA. Tate Modern's Turbine Hall is inhabited by an assembly of participants whose choreographed actions use movement, sound, and conversation. The Turbine Hall is occupied by the physical and vocal energy of the participants and visitors. The Unilever Series: Tino Sehgal is open until 28 October 2012.",,1804,1900,97
38,William Klein + Daido Moriyama,,Post-War,"USA, Japan",Photography,Theme,-,2012-10-10,2013-01-20,102.0,2012-13,94002,Paid,,William Klein + Daido Moriyama Exhibition Supporters Group,http://www.tate.org.uk/whats-on/tate-modern/exhibition/william-klein-daido-moriyama,"Explore modern urban life in New York and Tokyo through the photographs of William Klein and Daido Moriyama. This is the first exhibition to look at the relationship between the work of influential photographer and filmmaker Klein, and that of Moriyama, the most celebrated photographer to emerge from the Japanese Provoke movement of the 1960s.  With work from the 1950s to the present day, the exhibition demonstrates the visual affinity between their urgent, blurred and grainy style of photography and also their shared desire to convey street life and political protest, from anti-war demonstrations and gay pride marches to the effects of globalisation and urban deprivation. The exhibition also considers the medium and dissemination of photography itself, exploring the central role of the photo-book in avant-garde photography and the pioneering use of graphic design within these publications. As well the issues of Provoke magazine in which Moriyama and his contemporaries showcased their work, the exhibition will include fashion photography from Klein’s work with Vogue and installations relating to his satirical films Mister Freedom and Who Are You Polly Maggoo?",,1882,1984,103
39,Project Space: Objects in Mirror are Closer than they Appear,Project Space,Contemporary,Mixed,Film,Theme,-,2012-11-09,2013-02-17,100.0,2012-13,Not given,Free,,Catherine Petitgas,http://www.tate.org.uk/whats-on/tate-modern/exhibitionseries/project-space/project-space-objects-mirror-are-closer-they,"Since its birth, cinema has made a paradoxical demand on its viewers: to consciously suspend their disbelief. This remains a preoccupation for contemporary artists who have grown up exposed to an intense flow of still and moving images. The film and video works in this exhibition focus on the tension between image, narrative and the viewer’s perception. Together they expose the fracture between what we are shown on screen and what we see. Borrowing from various cinematic conventions, as well as formats including lecture, documentary, rehearsal and found footage, they examine the limits of our imagination and credulity. With a variety of approaches, their references move between the black boxes of movie theatres and the 'black mirrors' of our TV screens, computers and smart phones. The exhibition blurs the boundary between depiction and deception and questions the logic of storytelling. Does the illusive charm of the moving image undermine its authority as a visual record? And what role does the viewer’s imagination play in constructing a narrative?",,1912,2012,101
40,A Bigger Splash: Painting after Performance,,"Post-War, Contemporary",Mixed,Painting,Theme,-,2012-11-14,2013-04-01,138.0,2012-13,96819,Paid,,Art Mentor Foundation Lucerne,http://www.tate.org.uk/whats-on/tate-modern/exhibition/bigger-splash-painting-after-performance,"This exhibition will take a new look at the dynamic relationship between performance and painting since 1950. Contrasting key paintings by Jackson Pollock and David Hockney, the exhibition considers two different approaches to the idea of the canvas as an arena in which to act: one gestural, the other one theatrical. The paintings of the Vienna Actionists or the Shooting Pictures of Niki de St Phalle will be re-presented within the performance context that they were made, and juxtaposed with works by artists such as Cindy Sherman or Jack Smith that used the face and body as a surface, often using make-up in work dealing with gender role-play. The exhibition proposes a new way of looking at the work of a number of younger artists whose approach to painting is energised by these diverse historical sources, drawing upon action painting, drag and the idea of the stage set.",,1917,2055,139
41,Lichtenstein: A Retrospective,,Post-War,"USA, Japan",Sculpture,Artist,Roy Lichtenstein,2013-02-21,2013-05-27,95.0,2012-13,315814,Paid,The Art Institute of Chicago,"Bank of America Merrill Lynch. Supported by the Terra Foundation for American Art, the Henry Luce Foundation, the Lichtenstein Exhibition Supporters Group and the Tate Americas Foundation",http://www.tate.org.uk/whats-on/tate-modern/exhibition/lichtenstein-retrospective,"Tate Modern is proud to present a retrospective of one of the great American pop art artists of the twentieth century.Lichtenstein: A Retrospective is the first full-scale retrospective of this important artist in over twenty years. Co-organised by The Art Institute of Chicago and Tate Modern, this momentous show brings together 125 of his most definitive paintings and sculptures and reassesses his enduring legacy.Roy Lichtenstein is renowned for his works based on comic strips and advertising imagery, coloured with his signature hand-painted Benday dots. The exhibition showcases such key paintings as Look Mickey 1961 lent from the National Gallery Art, Washington and his monumental Artist’s Studio series of 1973–4. Other noteworthy highlights include Whaam! 1963 – a signature work in Tate’s collection – and Drowning Girl 1963 on loan from the Museum of Modern Art, New York. The artist’s rich and expansive practice is represented by a wide range of materials, including paintings on Rowlux and steel, as well sculptures in ceramic and brass and a selection of previously unseen drawings, collages and works on paper. Room after room pays tribute to his extraordinary oeuvre, celebrating the visual power and intellectual rigour of Roy Lichtenstein's work. ",,2016,2111,96
42,Project Space: Ruins in Reverse,Project Space,Contemporary,Peru,Mixed,Theme,-,2013-03-01,2013-06-24,115.0,2012-13,Not given,Free,,Catherine Petitgas,http://www.tate.org.uk/whats-on/tate-modern/exhibitionseries/project-space/project-space-ruins-reverse,"Tate Modern and Museo de Arte de Lima-MALI, one of Peru’s most important museums, have come together to curate a new exhibition as part of Project Space, Tate’s dedicated space for presenting emerging and recently established international artists. Re-thinking the traditional divide between historical monuments and discarded urban ruins, artists Rä di Martino, Pablo Hare, José Carlos Martinat, Haroon Mirza, Eliana Otta and Amalia Pica are brought together to explore contemporary ideas of archaeology, fiction and reality.",,2024,2139,116
43,Gabriel Orozco ,,Contemporary,Mexico,Mixed,Artist,Gabriel Orozco,2011-01-19,2011-04-25,96.0,2011-12-01 00:00:00,,Free,"The Museum of Modern Art, New York, Kunstmuseum Basel, Centre Pompidou, Paris ","ational Council for Culture and the Arts (CONACULTA), and Fundación Televisa, Mexico, supported by the Gabriel Orozco Exhibition Supporters Group",http://www.tate.org.uk/whats-on/tate-modern/exhibition/gabriel-orozco,"Creative, playful and inventive, Gabriel Orozco creates art in the streets, his apartment or wherever he is inspired. Born in Mexico but working across the globe, Orozco is renowned for his endless experimentation with found objects, which he subtly alters. His sculptures, often made of everyday things that have interested him, reveal new ways of looking at something familiar. A skull with a geometric pattern carefully drawn onto it, a classic Citroën DS car which the artist sliced into thirds, removing the central part to exaggerate its streamlined design, and a scroll filled with numbers cut out of a phone book are just some of his unique sculptures. Orozco’s photos are also on display, capturing the beauty of fleeting moments: water collecting in a punctured football, tins of cat food arranged on top of watermelons in a supermarket, or condensed breath disappearing from the surface of a piano show Orozco’s eye for simple but surprising and powerful images. His art also shows his fascination with game-playing, for example a billiard table with no pockets and a pendulum-like hanging ball, or Knights Running Endlessly, an extended chess board filled with an army of horses, both of which are well-known games to which he has added an element of futility. This kind of unexpected twist makes Orozco’s work interesting to both contemporary art lovers and also anyone who wants an unusual and captivating art experience.",,1252,1348,97
44,Project Space: Out of Place,Project Space,Contemporary,Mixed,Mixed,Theme,,2011-02-11,2011-04-17,65.0,2011-12-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibitionseries/project-space/project-space-out-place,"Tate Modern’s Project Space presents Out of Place, an exhibition that has arisen from a collaboration between Tate Modern and Darat al Funun, Amman, Jordan. The exhibition features four artists from different backgrounds whose diverse political and social circumstances have prompted them to consider their environment. The artists in Out of Place each explore the relationship between dominant political forces and personal and collective histories by looking at urban space, architectural structures and the condition of displacement. Hrair Sarkissian’s In Between 2007 is a series of large-scale photographs of austere Soviet-style buildings left abandoned in the dramatic hills and valleys of rural Armenia. They register the paradox experienced by this Syrian artist of Armenian origin of ‘returning’ to a land which he had only known from family stories, as the reality of the region replaced the country he had imagined. In The Valley 2007–8, Ahlam Shibli explores conditions in the village Arab al-Shibli, where Palestinians living under Israeli jurisdiction face relocation from their land. In Goter 2002–3, she looks at the lives of Palestinians of Bedouin descent from al-Naqab (Negev). In the 1970s, Ion Grigorescu began recording everyday scenes in his home city of Bucharest with an 8 mm camera. In his films and photographs he focuses on the unregimented activities taking place amid the rapidly changing urban landscape. His images of children playing, as well as of haphazardly discarded objects, contrast with the uniformity of the surrounding architecture from Romania’s Communist past. Cevdet Erek’s Shading Monument for the Artist 2009 reflects more generally on the possibilities of political art. The shadow-sculpture casts text on the gallery wall with varying intensity throughout the day; the words have been taken from memorials to those who fought in the Spanish Civil War. Appropriating these words for his artist’s monument, Erek blurs the status of political activism and artistic action.Welcome to EditPad.org - your online plain text editor. Enter or paste your text here. To download and save it, click on the button below.",,1275,1340,66
45,Joan Miró: Ladder of Escape ,,Post-war,Spain,Painting,Artist,Joan Miro,2011-04-14,2011-09-11,150.0,2011-12-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/miro,"Joan Miró's works come to London in the first major retrospective here for nearly 50 years. Renowned as one of the greatest Surrealist painters, filling his paintings with luxuriant colour, Miró worked in a rich variety of styles. This is a rare opportunity to enjoy more than 150 paintings, drawings, sculptures and prints from moments across the six decades of his extraordinary career. Miró is among the most iconic of modern artists, using a language of symbols that reflects his personal vision, sense of freedom, and energy. The exhibition includes many of the key works that we know and love. It also shows that, behind the engaging innocence of his imagery, lies a profound concern for humanity and a sense of personal and national identity. Extraordinary works from different moments of his career celebrate his roots in his native Catalonia.. The exhibition also traces an anxious and politically engaged side to Miró’s work that reflects his passionate response to one of the most turbulent periods in European history. Working in Barcelona and Paris, Miró tracked the mood of the Spanish Civil War and the first months of the Second World War in France. Under the political restrictions of Franco's Spain, Miró remained a symbol of international culture, and his grand abstract paintings of the late 1960s and early 1970s became a mark of resistance and integrity in the dying years of the regime. Telling the story of Miró's life and the time he witnessed reveals a darker intensity to many of his works. This is a must-see exhibition for 2011, filled with astonishing, beautiful and striking paintings by one of the greats of modern art.",,1337,1487,151
46,Level 2 Gallery: Burke + Norfolk ,Level 2,Contemporary,UK,Photography,Juxtaposition,Simon Norfolk,2011-05-06,2011-07-10,65.0,2011-12-01 00:00:00,,Free,,The World Collections Programme and the Aga Khan Trust for Culture,http://www.tate.org.uk/whats-on/tate-modern/exhibitionseries/project-space/project-space-burke-norfolk,"In October 2010, Simon Norfolk began a series of new photographs in Afghanistan, which takes its cue from the work of nineteenth-century Irish photographer John Burke. Norfolk’s photographs reimagine or respond to Burke’s Afghan war scenes in the context of the contemporary conflict. Conceived as a collaborative project with Burke across time, this new body of work is presented alongside Burke’s original portfolios. The exhibition takes place in conjunction with an earlier complementary exhibition in March 2011 at the Queen’s Palace in the Baghe Babur garden in Kabul, supported by The World Collections Programme and the Aga Khan Trust for Culture, which resulted from a series of workshops with Afghan photographers, featuring work by Fardin Waezi and Burke alongside Norfolk’s own work.",,1359,1424,66
47,Taryn Simon,,Contemporary,USA,Photography,Artist,Taryn Simon,2011-05-25,2012-01-02,222.0,2011-12-01 00:00:00,,unknown,,,http://www.tate.org.uk/whats-on/tate-modern/display/taryn-simon,"Tate Modern premieres an important new body of work by the American artist Taryn Simon. A Living Man Declared Dead and Other Chapters was produced over a four-year period (2008–11), during which Simon travelled around the world researching and recording bloodlines and their related stories. In each of the eighteen ‘chapters’ that make up the work, the external forces of territory, power, circumstance or religion collide with the internal forces of psychological and physical inheritance. The subjects documented by Simon include feuding families in Brazil, victims of genocide in Bosnia, the body double of Saddam Hussein’s son Uday, and the living dead in India. Her collection is at once cohesive and arbitrary, mapping the relationships among chance, blood, and other components of fate.",,1378,1600,223
48,Level 2 Gallery: Contested Terrains ,Level 2,Contemporary,Mixed,Mixed,Theme,,2011-07-29,2011-10-16,79.0,2011-12-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibitionseries/project-space/project-space-contested-terrains,"Contested Terrains features four artists working in Africa who explore and subvert narratives about the past and present. Kader Attia, Sammy Baloji, Michael MacGarry and Adolphus Opara engage with ideas of history and identity that in Africa have long been shaped by the claims and disputes of conflicting ideological and economic interests. Drawing connections across time and space, their works examine the impact of imperialism, notions of historical truth, and the representations and mechanics of power. Their interest in the construction of cultural narratives is reflected in their engagement with the aesthetics of museum or gallery display. Whether interrogating collections or archives, or playing with the conventions of portraiture or the showcase, each underlines the fact that the museum itself is a space where ideas and ideologies are asserted and questioned. The works in this exhibition are loosely grouped into three sections. Opara’s photographic portraits and MacGarry’s ossuary reveal traditional and contemporary value systems in dialogue and under pressure. Attia’s slide installation, positioned alongside MacGarry’s hybrid sculptures, explores different approaches to grafting and repair. Baloji’s photomontages consider the remnants and realities of industrialisation and global trade. These artists reveal that history is more than a straightforward succession of events and that the present remains contested terrain.",,1443,1522,80
49,Gerhard Richter: Panorama ,,Contemporary,Germany,Painting,Artist,Gerhard Richter,2011-10-06,2012-01-08,94.0,2011-12-01 00:00:00,,Paid,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/gerhard-richter-panorama,"Spanning nearly five decades, and coinciding with the artist’s 80th birthday, Gerhard Richter: Panorama is a major retrospective exhibition that groups together significant moments of his remarkable career. Since the 1960s, Gerhard Richter has immersed himself in a rich and varied exploration of painting. Gerhard Richter: Panorama highlights the full extent of the artist's work, which has encompassed a diverse range of techniques and ideas. It includes realist paintings based on photographs, colourful gestural abstractions such as the squeegee paintings, portraits, subtle landscapes and history paintings. Gerhard Richter was one of the first German artists to reflect on the history of National Socialism, creating paintings of family members who had been members, as well as victims of, the Nazi party. Continuing his historical interest, he produced the 15-part work October 18 1977 1988, a sequence of black and white paintings based on images of the Baader Meinhof group. Richter has continued to respond to significant moments in history throughout his career; the final room of the exhibition includes September 2005, a painting of the terrorist attacks on the World Trade Center in New York in 2001. Lovers of the epic beauty of Rothko, Twombly and Hodgkin will have much to enjoy, as will those who appreciate striking portraiture or the crystal-clear precision of photorealism.",,1512,1606,95
